method:db:BMCdb:1	(5S\s+rRNA\s+Data\s+Bank)
method:db:miriam:96	(HOMD\s+Taxonomy)
method:db:miriam:97	(HOVERGEN)
method:db:miriam:98	(HSSP)
method:db:miriam:99	(Human\s+Disease\s+Ontology)
method:db:miriam:100	(ICD)
method:db:miriam:101	(IMEx)
method:db:miriam:102	(IntAct)
method:db:miriam:103	(Integrated\s+Microbial\s+Genomes\s+Gene)
method:db:miriam:104	(Integrated\s+Microbial\s+Genomes\s+Taxon)
method:db:miriam:105	(InterPro)
method:db:miriam:106	(IPI)
method:db:miriam:107	(IRD\s+Segment\s+Sequence)
method:db:miriam:108	(iRefWeb)
method:db:miriam:109	(ISBN)
method:db:miriam:110	(ISFinder)
method:db:miriam:111	(Japan\s+Chemical\s+Substance\s+Dictionary)
method:db:miriam:112	(Japan\s+Collection\s+of\s+Microorganisms)
method:db:miriam:113	(JWS\s+Online)
method:db:miriam:114	(KEGG\s+Compound)
method:db:miriam:115	(KEGG\s+Drug)
method:db:miriam:116	(KEGG\s+Genes)
method:db:miriam:117	(KEGG\s+Genome)
method:db:miriam:118	(KEGG\s+Glycan)
method:db:miriam:119	(KEGG\s+Metagenome)
method:db:miriam:120	(KEGG\s+Orthology)
method:db:miriam:121	(KEGG\s+Pathway)
method:db:miriam:122	(KEGG\s+Reaction)
method:db:miriam:123	(KiSAO)
method:db:miriam:124	(Ligand\s+Expo)
method:db:miriam:125	(Ligand-Gated\s+Ion\s+Channel\s+[Dd]ata[Bb]ase)
method:db:miriam:126	(LIPID\s+MAPS)
method:db:miriam:127	(LipidBank)
method:db:miriam:128	(MACiE)
method:db:miriam:129	(MaizeGDB\s+Locus)
method:db:miriam:130	(MatrixDB)
method:db:miriam:131	(Melanoma\s+Molecular\s+Map\s+Project\s+Biomaps)
method:db:miriam:132	(MEROPS)
method:db:miriam:133	(Microbial\s+Protein\s+Interaction\s+[Dd]ata[Bb]ase)
method:db:miriam:134	(MicrosporidiaDB)
method:db:miriam:135	(MINT)
method:db:miriam:136	(miRBase\s+mature\s+sequence)
method:db:miriam:137	(miRBase\s+Sequence)
method:db:miriam:138	(MIRIAM\s+Registry\s+collection)
method:db:miriam:139	(MIRIAM\s+Registry\s+resource)
method:db:miriam:140	(ModelDB)
method:db:miriam:141	(Molecular\s+Interactions\s+Ontology)
method:db:miriam:142	(Molecular\s+Modeling\s+[Dd]ata[Bb]ase)
method:db:miriam:143	(Mouse\s+Genome\s+[Dd]ata[Bb]ase)
method:db:miriam:144	(MycoBank)
method:db:miriam:145	(MycoBrowser\s+leprae)
method:db:miriam:146	(MycoBrowser\s+marinum)
method:db:miriam:147	(MycoBrowser\s+smegmatis)
method:db:miriam:148	(MycoBrowser\s+tuberculosis)
method:db:miriam:149	(NARCIS)
method:db:miriam:150	(NCI\s+Pathway\s+Interaction\s+[Dd]ata[Bb]ase)
method:db:miriam:151	(NCIt)
method:db:miriam:152	(NeuroLex)
method:db:miriam:153	(NeuroMorpho)
method:db:miriam:154	(NeuronDB)
method:db:miriam:155	(nextProt)
method:db:miriam:156	(NITE\s+Biological\s+Research\s+Center\s+Catalogue)
method:db:miriam:157	(Nucleotide\s+Sequence\s+[Dd]ata[Bb]ase)
method:db:miriam:158	(OMIA)
method:db:miriam:159	(OMIM)
method:db:miriam:160	(Ontology\s+for\s+Biomedical\s+Investigations)
method:db:miriam:161	(Ontology\s+of\s+Physics\s+for\s+Biology)
method:db:miriam:162	(Orphanet)
method:db:miriam:163	(OrthoDB)
method:db:miriam:164	(PaleoDB)
method:db:miriam:165	(PANTHER)
method:db:miriam:166	(Pathway\s+Commons)
method:db:miriam:167	(PATO)
method:db:miriam:168	(PeptideAtlas)
method:db:miriam:169	(Peroxibase)
method:db:miriam:170	(Pfam)
method:db:miriam:171	(PharmGKB\s+Disease)
method:db:miriam:172	(PharmGKB\s+Drug)
method:db:miriam:173	(PharmGKB\s+Pathways)
method:db:miriam:174	(PhosphoSite\s+Protein)
method:db:miriam:175	(PhosphoSite\s+Residue)
method:db:miriam:176	(PhylomeDB)
method:db:miriam:177	(PIRSF)
method:db:miriam:178	(PlasmoDB)
method:db:miriam:179	(PMP)
method:db:miriam:180	(PRIDE)
method:db:miriam:181	(ProDom)
method:db:miriam:182	(PROSITE)
method:db:miriam:183	(ProtClustDB)
method:db:miriam:184	(Protein\s+Data\s+Bank)
method:db:miriam:185	(Protein\s+Model\s+[Dd]ata[Bb]ase)
method:db:miriam:186	(Protein\s+Modification\s+Ontology)
method:db:miriam:187	(Protein\s+Ontology)
method:db:miriam:188	(ProtoNet\s+Cluster)
method:db:miriam:189	(ProtoNet\s+ProteinCard)
method:db:miriam:190	(Pseudomonas\s+Genome\s+[Dd]ata[Bb]ase)
method:db:miriam:191	(PubChem-bioassay)
method:db:miriam:192	(PubChem-compound)
method:db:miriam:193	(PubChem-substance)
method:db:miriam:194	(PubMed)
method:db:miriam:195	(PubMed\s+Central)
method:db:miriam:196	(Rat\s+Genome\s+[Dd]ata[Bb]ase)
method:db:miriam:197	(Reactome)
method:db:miriam:198	(REBASE)
method:db:miriam:199	(RefSeq)
method:db:miriam:200	(Relation\s+Ontology)
method:db:miriam:201	(RESID)
method:db:miriam:202	(Rhea)
method:db:miriam:203	(SABIO-RK\s+EC\s+Record)
method:db:miriam:204	(SABIO-RK\s+Kinetic\s+Record)
method:db:miriam:205	(SABIO-RK\s+Reaction)
method:db:miriam:206	(Saccharomyces\s+genome\s+[Dd]ata[Bb]ase\s+pathways)
method:db:miriam:207	(Sequence\s+Ontology)
method:db:miriam:208	(SGD)
method:db:miriam:209	(Signaling\s+Gateway)
method:db:miriam:210	(Small\s+Molecule\s+Pathway\s+[Dd]ata[Bb]ase)
method:db:miriam:211	(SMART)
method:db:miriam:212	(Sol\s+Genomics\s+Network)
method:db:miriam:213	(SPRINT)
method:db:miriam:214	(SubstrateDB)
method:db:miriam:215	(SubtiWiki)
method:db:miriam:216	(SWISS-MODEL)
method:db:miriam:217	(Systems\s+Biology\s+Ontology)
method:db:miriam:218	(T3DB)
method:db:miriam:219	(TAIR\s+Gene)
method:db:miriam:220	(TAIR\s+Locus)
method:db:miriam:221	(TAIR\s+Protein)
method:db:miriam:222	(Taxonomy)
method:db:miriam:223	(TEDDY)
method:db:miriam:224	(ToxoDB)
method:db:miriam:225	(Transport\s+Classification\s+[Dd]ata[Bb]ase)
method:db:miriam:226	(TrichDB)
method:db:miriam:227	(TriTrypDB)
method:db:miriam:228	(TTD\s+Drug)
method:db:miriam:229	(TTD\s+Target)
method:db:miriam:230	(UniParc)
method:db:miriam:231	(Unipathway)
method:db:miriam:232	(UniProt)
method:db:miriam:233	(UniSTS)
method:db:miriam:234	(Unit\s+Ontology)
method:db:miriam:235	(VectorBase)
method:db:miriam:236	(WikiPathways)
method:db:miriam:237	(WormBase)
method:db:miriam:238	(Wormpep)
method:db:miriam:239	(Xenbase)
method:db:miriam:240	(ZFIN\s+Gene)
method:db:nar:1	(16S\s+and\s+23S\s+Ribosomal\s+RNA\s+Mutation\s+[Dd]ata[Bb]ase)
method:db:nar:2	(2D-PAGE)
method:db:nar:3	(3D\s+rRNA\s+modification\s+maps)
method:db:nar:4	(3D-Footprint)
method:db:nar:5	(3D-Genomics)
method:db:nar:6	(3D-Interologs)
method:db:nar:7	(3DID)|(3D\s+interacting\s+domains)
method:db:nar:8	(3DNALandscapes)
method:db:nar:9	(4DXpress)
method:db:nar:10	(5'SAGE)
method:db:nar:11	(5S\s+Ribosomal\s+RNA\s+[Dd]ata[Bb]ase)
method:db:nar:12	(AAindex)
method:db:nar:13	(AANT)|(Amino\s+Acid\s+Nucleotide\s+interaction\s+[Dd]ata[Bb]ase)
method:db:nar:14	(ABA)|(Ascidian\s+Body\s+Atlas)
method:db:nar:15	(ABCdb)
method:db:nar:16	(ABS)
method:db:nar:17	(ACeDB)
method:db:nar:18	(ACLAME)|(A\s+Classification\s+of\s+Mobile\s+genetic\s+Elements)
method:db:nar:19	(ACTIVITY)
method:db:nar:20	(ADDA)|(A\s+Domain\s+[Dd]ata[Bb]ase)
method:db:nar:21	(ADHDgene)
method:db:nar:22	(AffinDB)
method:db:nar:23	(AgBase)
method:db:nar:24	(AGD)|(Ashbya\s+Genome\s+[Dd]ata[Bb]ase)
method:db:nar:25	(AGNS)|(Arabidopsis\s+GeneNet\s+supplementary)
method:db:nar:26	(AGRIS)|(Arabidopsis\s+Gene\s+Regulatory\s+Information\s+Server)
method:db:nar:27	(ALFRED)
method:db:nar:28	(Allele\s+Frequency\s+Net)
method:db:nar:29	(Allosteric\s+[Dd]ata[Bb]ase)
method:db:nar:30	(ALPSbase)
method:db:nar:31	(AlterORF)
method:db:nar:32	(AlzGene)
method:db:nar:33	(aMAZE)
method:db:nar:34	(Aminoacyl-tRNA\s+synthetase\s+[Dd]ata[Bb]ase)
method:db:nar:35	(AmoebaDB)
method:db:nar:36	(Androgen\s+Receptor\s+Gene\s+Mutations\s+[Dd]ata[Bb]ase)
method:db:nar:37	(Animal\s+Genome\s+Size\s+[Dd]ata[Bb]ase)
method:db:nar:38	(Animal\s+Toxin\s+[Dd]ata[Bb]ase)
method:db:nar:39	(AnimalQTLdb)
method:db:nar:40	(AnimalTFDB)
method:db:nar:41	(AntigenDB)
method:db:nar:42	(AntiJen)
method:db:nar:43	(AOBase)
method:db:nar:44	(APD)|(Antimicrobial\s+Peptide\s+[Dd]ata[Bb]ase)
method:db:nar:45	(AphidBase)
method:db:nar:46	(ApiDB)|(Apicomplexan\s+[Dd]ata[Bb]ase)
method:db:nar:47	(ApiDots)
method:db:nar:48	(ApoHoloDB)
method:db:nar:49	(AppaDB)
method:db:nar:50	(Aptamer\s+[Dd]ata[Bb]ase)
method:db:nar:51	(Arabidopsis\s+Hormone\s+[Dd]ata[Bb]ase)
method:db:nar:52	(Arabidopsis\s+Mitochondrial\s+Protein\s+[Dd]ata[Bb]ase)
method:db:nar:53	(Arabidopsis\s+MPSS)
method:db:nar:54	(Arabidopsis\s+Nucleolar\s+Protein\s+[Dd]ata[Bb]ase)
method:db:nar:55	(ArachnoServer)
method:db:nar:56	(ARAMEMNON)
method:db:nar:57	(ArchDB)
method:db:nar:58	(ARDB)
method:db:nar:59	(ARED)
method:db:nar:60	(AREsite)
method:db:nar:61	(Argonaute)
method:db:nar:62	(ArkDB)
method:db:nar:63	(ArrayExpress)
method:db:nar:64	(ARTADEdb)
method:db:nar:65	(AS-ALPS)
method:db:nar:66	(ASAP\s+II)
method:db:nar:67	(ASAP)|(A\s+Systematic\s+Annotation\s+Package)
method:db:nar:68	(ASC)|(Active\s+Sequence\s+Collection)
method:db:nar:69	(ASDB)|(Alternative\s+Splicing\s+[Dd]ata[Bb]ase)
method:db:nar:70	(ASHESdb)
method:db:nar:71	(ASPD)
method:db:nar:72	(Aspergillus\s+Genomes)
method:db:nar:73	(AspGD)
method:db:nar:74	(ASPicDB)
method:db:nar:75	(ASRP)|(Arabidopsis\s+Small\s+RNA\s+Project)
method:db:nar:76	(ASTD)
method:db:nar:77	(ASTRAL)
method:db:nar:78	(ATGC)
method:db:nar:79	(AtGDB)
method:db:nar:80	(AthaMap)
method:db:nar:81	(Atlas\s+of\s+Genetics\s+and\s+Cytogenetics\s+in\s+Oncology\s+and\s+Haematology)
method:db:nar:82	(AtPID)
method:db:nar:83	(ATTED-II)
method:db:nar:84	(AutDB)
method:db:nar:85	(AutismKB)
method:db:nar:86	(Autophagy\s+[Dd]ata[Bb]ase)
method:db:nar:87	(AutoPSI)
method:db:nar:88	(autoSNPdb)
method:db:nar:89	(Axeldb)
method:db:nar:90	(BacMap)
method:db:nar:91	(Bacteriome\.org)
method:db:nar:92	(BACTIBASE)
method:db:nar:93	(BAliBASE)
method:db:nar:94	(BANMOKI)
method:db:nar:95	(BarleyBase)
method:db:nar:96	(BCIpep)
method:db:nar:97	(BCSDB/Glycoscience)|(BCSDB)|(Glycoscience)
method:db:nar:98	(BeetleBase)
method:db:nar:99	(Benchmark)
method:db:nar:100	(Beta\s+Cell\s+Genomics)
method:db:nar:101	(BGED)|(Brain\s+Gene\s+Expression\s+[Dd]ata[Bb]ase)
method:db:nar:102	(BGI-RISe)|(Beijing\s+Genomics\s+Institute\s+Rice\s+Information\s+System)
method:db:nar:103	(BGMUT)
method:db:nar:104	(Binding\s+MOAD)
method:db:nar:105	(BindingDB)
method:db:nar:106	(BioCarta)
method:db:nar:107	(BioCyc)
method:db:nar:108	(Biodefense\s+Proteomics\s+Resource\s+Center)
method:db:nar:109	(BioDrugScreen)
method:db:nar:110	(BioGRID)
method:db:nar:111	(BioMagResBank)
method:db:nar:112	(BioModels)
method:db:nar:113	(Bionemo)
method:db:nar:114	(BioNumbers)
method:db:nar:115	(BioSample)|(BioProject)
method:db:nar:116	(BioSilico)
method:db:nar:117	(BioThesaurus)
method:db:nar:118	(BIOZON)
method:db:nar:119	(BISC)
method:db:nar:120	(BitterDB)
method:db:nar:121	(Blocks)
method:db:nar:122	(BloodExpress)
method:db:nar:123	(BodyMap)
method:db:nar:124	(BodyMap-Xs)
method:db:nar:125	(BodyParts3D)
method:db:nar:126	(Bovine\s+Genome)
method:db:nar:127	(BPS)
method:db:nar:128	(Brassica\s+BASC)
method:db:nar:129	(BRENDA)
method:db:nar:130	(BRITE)|(Biomolecular\s+Relations\s+in\s+Information\s+Transmission\s+and\s+Expression)
method:db:nar:131	(Brix)
method:db:nar:132	(BSDB)
method:db:nar:133	(BSD)|(Biodegradative\s+Strain\s+[Dd]ata[Bb]ase)
method:db:nar:134	(BSORF)|(Bacillus\s+subtilis\s+Open\s+Reading\s+Frames)
method:db:nar:135	(BTKbase)
method:db:nar:136	(BTO)
method:db:nar:137	(BuchneraBase)
method:db:nar:138	(BuGaSbase)|(BuGSbase)|(BuG@Sbase)
method:db:nar:139	(ButterflyBase)
method:db:nar:140	(BYKdb)
method:db:nar:141	(C\.\s+elegans\s+Project)
method:db:nar:142	(CADB)|(Conformational\s+Angles\s+[Dd]ata[Bb]ase\s+of\s+Proteins)
method:db:nar:143	(CADgene)
method:db:nar:144	(CADRE)|(Central\s+Aspergillus\s+Data\s+Repository)
method:db:nar:145	(CAGE)
method:db:nar:146	(CAMERA)
method:db:nar:147	(CAMP)
method:db:nar:148	(Cancer\s+Chromosomes)
method:db:nar:149	(CancerGenes)
method:db:nar:150	(CancerResource)
method:db:nar:151	(Candida\s+Genome\s+[Dd]ata[Bb]ase)
method:db:nar:152	(CandidaDB)
method:db:nar:153	(CanGEM)
method:db:nar:154	(canSAR)
method:db:nar:155	(CAPS-DB)
method:db:nar:156	(CarpeDB)
method:db:nar:157	(CaSNP)
method:db:nar:158	(CASRDB)
method:db:nar:159	(CATdb)
method:db:nar:160	(CATH)
method:db:nar:161	(CATMA)|(Complete\s+Arabidopsis\s+Transcriptome\s+MicroArray)
method:db:nar:162	(CAZy)
method:db:nar:163	(cBARBEL)
method:db:nar:164	(CC\+)
method:db:nar:165	(CCDB)
method:db:nar:166	(CCDB)|(The\s+CyberCell\s+[Dd]ata[Bb]ase)
method:db:nar:167	(CCDS)
method:db:nar:168	(ccPDB)
method:db:nar:169	(CCSD)|(Complex\s+Carbohydrate\s+Structure\s+[Dd]ata[Bb]ase)|(CarbBank)
method:db:nar:170	(CDD)
method:db:nar:171	(CDDB)
method:db:nar:172	(CE)
method:db:nar:173	(CEBS)
method:db:nar:174	(CellCircuits)
method:db:nar:175	(CentrosomeDB)
method:db:nar:176	(Cereal\s+Small\s+RNA\s+[Dd]ata[Bb]ase)
method:db:nar:177	(CFGP)
method:db:nar:178	(CGED)|(Cancer\s+Gene\s+Expression\s+[Dd]ata[Bb]ase)
method:db:nar:179	(CharProtDB)
method:db:nar:180	(ChEBI)|(Chemical\s+Entities\s+of\s+Biological\s+Interest)
method:db:nar:181	(ChemBank)
method:db:nar:182	(ChEMBL)
method:db:nar:183	(ChemDB)
method:db:nar:184	(ChemProt)
method:db:nar:185	(ChickVD)
method:db:nar:186	(ChimerDB)
method:db:nar:187	(Chloroplast\s+Genome\s+[Dd]ata[Bb]ase)
method:db:nar:188	(ChromDB)
method:db:nar:189	(CIDB)|(Chlamydia\s+Interactive\s+[Dd]ata[Bb]ase)
method:db:nar:190	(Ciliate\s+IES-MDS\s+[Dd]ata[Bb]ase)
method:db:nar:191	(CIPRO)
method:db:nar:192	(cisRED)
method:db:nar:193	(CleanEST)
method:db:nar:194	(CleanEx)
method:db:nar:195	(CLIPZ)
method:db:nar:196	(CluSTr)
method:db:nar:197	(CMGSDB)
method:db:nar:198	(CnidBase)
method:db:nar:199	(CoC\s+Central)
method:db:nar:200	(COGEME\s+Phytopathogenic\s+Fungi\s+and\s+Oomycete\s+EST\s+[Dd]ata[Bb]ase)
method:db:nar:201	(CoGenT\+\+)
method:db:nar:202	(COG)|(Clusters\s+of\s+Orthologous\s+Groups\s+of\s+proteins)
method:db:nar:203	(COG)|(Eukaryotic\s+Orthologous\s+Groups\s+of\s+proteins)
method:db:nar:204	(coliBase)
method:db:nar:205	(Colibri)
method:db:nar:206	(ColiSNP)
method:db:nar:207	(Collagen\s+Mutation\s+[Dd]ata[Bb]ase)
method:db:nar:208	(COLT-Cancer)
method:db:nar:209	(Columba)
method:db:nar:210	(COMBREX)
method:db:nar:211	(COMe)|(Co-Ordination\s+of\s+Metals\s+etc\.)
method:db:nar:212	(Comparasite)
method:db:nar:213	(Comparative\s+Genometrics)
method:db:nar:214	(Comparative\s+Toxicogenomics\s+[Dd]ata[Bb]ase)
method:db:nar:215	(ComSin)
method:db:nar:216	(ConoServer)
method:db:nar:217	(ConsensusPathDB)
method:db:nar:218	(ConSurf-DB)
method:db:nar:219	(CoPS)
method:db:nar:220	(CORG)|(A\s+[Dd]ata[Bb]ase\s+for\s+COmparative\s+Regulatory\s+Genomics)
method:db:nar:221	(CORUM)
method:db:nar:222	(CoryneRegNet)
method:db:nar:223	(COSMIC)|(Catalogue\s+Of\s+Somatic\s+Mutations\s+In\s+Cancer)
method:db:nar:224	(CoVDB)
method:db:nar:225	(COXPRESdb)
method:db:nar:226	(CPDB)
method:db:nar:227	(CPLA)
method:db:nar:228	(cpnDB)
method:db:nar:229	(CR-EST)|(Crop\s+ESTs)
method:db:nar:230	(Cre\s+Transgenic\s+[Dd]ata[Bb]ase)
method:db:nar:231	(CREMOFAC)
method:db:nar:232	(CryptoDB)|(Cryptosporidium\s+[Dd]ata[Bb]ase)
method:db:nar:233	(Crystallography\s+Open\s+[Dd]ata[Bb]ase)
method:db:nar:234	(CSA)|(Catalytic\s+Site\s+Atlas)
method:db:nar:235	(CSDBase)|(Cold\s+Shock\s+Domain\s+[Dd]ata[Bb]ase)
method:db:nar:236	(CSD)|(Cambridge\s+Structural\s+[Dd]ata[Bb]ase)
method:db:nar:237	(CSS)|(Carbohydrate\s+Structure\s+Suite)
method:db:nar:238	(CTCF\s+Binding\s+Site\s+[Dd]ata[Bb]ase)
method:db:nar:239	(CTDatabase)
method:db:nar:240	(CTGA)
method:db:nar:241	(Cube-DB)
method:db:nar:242	(CutDB)
method:db:nar:243	(CUTG)|(Codon\s+Usage\s+Tabulated\s+from\s+GenBank)
method:db:nar:244	(CuticleDB)
method:db:nar:245	(CyanoBase)
method:db:nar:246	(Cybase)
method:db:nar:247	(CycleBase)
method:db:nar:248	(Cyclonet)
method:db:nar:249	(CYGD)|(Comprehensive\s+Yeast\s+Genome\s+[Dd]ata[Bb]ase)
method:db:nar:250	(CyMoBase)
method:db:nar:251	(Cypriot\s+national\s+mutation\s+[Dd]ata[Bb]ase)
method:db:nar:252	(Cytokine\s+Gene\s+Polymorphisms)
method:db:nar:253	(D-HaploDB)
method:db:nar:254	(Dali\s+[Dd]ata[Bb]ase)
method:db:nar:255	(DAMPD)
method:db:nar:256	(DAnCER)
method:db:nar:257	(DARC)
method:db:nar:258	(DART)|(Drug\s+Adverse\s+Reaction\s+Targets)
method:db:nar:259	([Dd]ata[Bb]ase\s+for\s+Bacterial\s+Group\s+II\s+Introns)
method:db:nar:260	([Dd]ata[Bb]ase\s+of\s+Genomic\s+Variants)
method:db:nar:261	([Dd]ata[Bb]ase\s+of\s+Genomic\s+Variants\s+archive)|(DGVa)
method:db:nar:262	([Dd]ata[Bb]ase\s+of\s+Germline\s+p53\s+Mutations)
method:db:nar:263	(DATF)
method:db:nar:264	(DB-PABP)
method:db:nar:265	(DBAli)
method:db:nar:266	(DBASS5)|(DBASS3)
method:db:nar:267	(dbCRID)
method:db:nar:268	(DBD)
method:db:nar:269	(dbDEPC)
method:db:nar:270	(dbDNV)
method:db:nar:271	(dbERGEII)
method:db:nar:272	(DBETH)
method:db:nar:273	(dbLEP)
method:db:nar:274	(dbMHC)
method:db:nar:275	(dbPTM)
method:db:nar:276	(dbQSNP)
method:db:nar:277	(dbRES)
method:db:nar:278	(dbRIP)
method:db:nar:279	(dbSNP)
method:db:nar:280	(dbSNP-Q)
method:db:nar:281	(DBSubLoc)|([Dd]ata[Bb]ase\s+of\s+protein\s+Subcellular\s+Localization)
method:db:nar:282	(DBTBS)
method:db:nar:283	(DBTGR)
method:db:nar:284	(DBTSS)
method:db:nar:285	(DCCP)|([Dd]ata[Bb]ase\s+of\s+Copper-Chelating\s+Proteins)
method:db:nar:286	(DDBJ)|(DNA\s+Data\s+Bank\s+of\s+Japan)
method:db:nar:287	(DDIB)|([Dd]ata[Bb]ase\s+of\s+Domain\s+Interactions\s+and\s+Binding)
method:db:nar:288	(DDOC)
method:db:nar:289	(DDPC)
method:db:nar:290	(Death\s+Domain\s+[Dd]ata[Bb]ase)
method:db:nar:291	(Decoys-R-Us)
method:db:nar:292	(deepBase)
method:db:nar:293	(Defensins\s+Knowledgebase)
method:db:nar:294	(Degradome\s+[Dd]ata[Bb]ase)
method:db:nar:295	(DEG)|([Dd]ata[Bb]ase\s+of\s+Essential\s+Genes)
method:db:nar:296	(Deja\s+vu)
method:db:nar:297	(DG-CST)
method:db:nar:298	(diArk)
method:db:nar:299	(Diatom\s+EST\s+[Dd]ata[Bb]ase)
method:db:nar:300	(DictyBase)
method:db:nar:301	(DIGIT)
method:db:nar:302	(DIMA)
method:db:nar:303	(DiProDB)
method:db:nar:304	(DIP)|([Dd]ata[Bb]ase\s+of\s+Interacting\s+Proteins)
method:db:nar:305	(Disease\s+Ontology)
method:db:nar:306	(DiseaseMeth)
method:db:nar:307	(DisProt)|([Dd]ata[Bb]ase\s+of\s+Protein\s+Disorder)
method:db:nar:308	(DistiLD)
method:db:nar:309	(DMAPS)
method:db:nar:310	(DNAreplication\.net)
method:db:nar:311	(DNASU\s+Plasmid\s+Repository)
method:db:nar:312	(DNAtraffic)
method:db:nar:313	(Dockground)
method:db:nar:314	(DOMINE)
method:db:nar:315	(DOMINO)
method:db:nar:316	(DomIns)|([Dd]ata[Bb]ase\s+of\s+Domain\s+Insertions)
method:db:nar:317	(DOMMINO)
method:db:nar:318	(DoOP)|([Dd]ata[Bb]ases\s+of\s+Orthologous\s+Promoters)
method:db:nar:319	(DOOR)
method:db:nar:320	(doRiNA)
method:db:nar:321	(DPInteract)
method:db:nar:322	(DPVweb)
method:db:nar:323	(DR\.VIS)
method:db:nar:324	(DRASTIC)
method:db:nar:325	(DRC)|([Dd]ata[Bb]ase\s+of\s+Ribosomal\s+Crosslinks)
method:db:nar:326	(DroID)|(Drosophila\s+Interactions\s+[Dd]ata[Bb]ase)
method:db:nar:327	(Drosophila\s+microarray\s+centre)
method:db:nar:328	(Drosophila\s+polymorphism\s+[Dd]ata[Bb]ase)
method:db:nar:329	(DroSpeGe)
method:db:nar:330	(DRTF)
method:db:nar:331	(DrugBank)
method:db:nar:332	(DRYGin)
method:db:nar:333	(DSD)
method:db:nar:334	(DSDBASE)
method:db:nar:335	(DSMM)|(a\s+[Dd]ata[Bb]ase\s+of\s+Simulated\s+Molecular\s+Motions)
method:db:nar:336	(Dynamic\s+Proteomics)
method:db:nar:337	(DynaProt\s+2D)
method:db:nar:338	(EBI\s+BioSample\s+[Dd]ata[Bb]ase)
method:db:nar:339	(EBI\s+Genomes)
method:db:nar:340	(EBI\s+patent\s+sequences)
method:db:nar:341	(eBLOCKS)
method:db:nar:342	(ECgene)
method:db:nar:343	(EchoBASE)
method:db:nar:344	(EciD)
method:db:nar:345	(EcoCyc)
method:db:nar:346	(EcoGene)
method:db:nar:347	(EcoliWiki)
method:db:nar:348	(ECRbase)
method:db:nar:349	(EDAS)|(EST-Derived\s+Alternative\s+Splicing\s+[Dd]ata[Bb]ase)
method:db:nar:350	(Edinburgh\s+Mouse\s+\(EMAP\)\s+Atlas)|(Edinburgh\s+Mouse\s+Atlas)|(EMAP)
method:db:nar:351	(EDULISS)
method:db:nar:352	(eF-site)|(Electrostatic\s+surface\s+of\s+Functional\s+site)
method:db:nar:353	(Effective)
method:db:nar:354	(eggNOG)
method:db:nar:355	(EGO)|(Eukaryotic\s+Gene\s+Orthologs)
method:db:nar:356	(EHCO)
method:db:nar:357	(EICO\s+DB)|(Expression-based\s+Imprint\s+Candidate\s+Organiser)
method:db:nar:358	(EID)|(Exon-Intron\s+[Dd]ata[Bb]ase)
method:db:nar:359	(ELM)
method:db:nar:360	(EMAGE)
method:db:nar:361	(EMDataBank)
method:db:nar:362	(EMGlib)|(Enhanced\s+Microbial\s+Genomes\s+Library)
method:db:nar:363	(EMMA)
method:db:nar:364	(ENCODE\s+Project\s+at\s+UCSC)
method:db:nar:365	(Endogenous\s+GPCR\s+List)
method:db:nar:366	(EndoNet)
method:db:nar:367	(Ensembl)
method:db:nar:368	(Ensembl\s+Genomes)
method:db:nar:369	(Entrez\s+Gene)
method:db:nar:370	(Entrez\s+Genomes)
method:db:nar:371	(ENZYME)
method:db:nar:372	(Enzyme\s+Nomenclature)
method:db:nar:373	(EPD)
method:db:nar:374	(EPGD)
method:db:nar:375	(Epitome)
method:db:nar:376	(EpoDB)|(Erythropoiesis\s+[Dd]ata[Bb]ase)
method:db:nar:377	(eQuilibrator)
method:db:nar:378	(ERGDB)|(Estrogen\s+Responsive\s+Genes\s+[Dd]ata[Bb]ase)
method:db:nar:379	(ERGO-Light)
method:db:nar:380	(ERGR)
method:db:nar:381	(ERIC)
method:db:nar:382	(EROP-Moscow)
method:db:nar:383	(eSLDB)|(eukaryotic\s+Subcellular\s+Localization\s+[Dd]ata[Bb]ase)
method:db:nar:384	(Essential\s+genes\s+in\s+E\.\s+coli)
method:db:nar:385	(ESTHER)
method:db:nar:386	(euGenes)
method:db:nar:387	(euHCVdb)
method:db:nar:388	(European\s+Genome-phenome\s+Archive)|(EGA)
method:db:nar:389	(European\s+Nucleotide\s+Archive)
method:db:nar:390	(European\s+rRNA\s+[Dd]ata[Bb]ase)
method:db:nar:391	(EuroPhenome)
method:db:nar:392	(EVEREST)|(EVolutionary\s+Ensembles\s+of\s+REcurrent\s+SegmenTs)
method:db:nar:393	(EVOG)
method:db:nar:394	(Evola)
method:db:nar:395	(ExDom)
method:db:nar:396	(ExInt)
method:db:nar:397	(ExoCarta)
method:db:nar:398	(ExplorEnz)
method:db:nar:399	(EXProt)
method:db:nar:400	(ExtraTrain)
method:db:nar:401	(EyeSite)
method:db:nar:402	(EzCatDB)
method:db:nar:403	(F-SNP)
method:db:nar:404	(FANTOM)
method:db:nar:405	(FCP)
method:db:nar:406	(FESD)|(Functional\s+Element\s+SNPs\s+[Dd]ata[Bb]ase)
method:db:nar:407	(FGDB)
method:db:nar:408	(FIMM)
method:db:nar:409	(FINDbase)
method:db:nar:410	(FireDB)
method:db:nar:411	(FLAGdb\+\+)
method:db:nar:412	(FLIGHT)
method:db:nar:413	(FLJ-DB)
method:db:nar:414	(FlyBase)
method:db:nar:415	(FlyBrain)
method:db:nar:416	(FlyEx)
